	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2015)	1	1	8	0.0	1	5	1	2	1	6	7	12	6	2	2	22	28	112	40	49	18	18	16	2	13	4	3	13	1	1	6	5	5	30	24	23	14	10	9	17	1	0.0	1	1	2	5	4	4
	Total # checklists submitted - (2016)	7	1	15	5	24	36	1	6	8	7	12	23	28	20	28	53	63	109	35	47	13	14	15	5	4	5	4	30	5	2	6	20	33	29	19	15	2	4	4	8	9	7	10	5	14	7	12	8
	Total # checklists submitted - (2017)	17	41	5	49	39	31	20	18	15	11	19	42	40	65	13	50	74	79	51	92	51	42	28	65	38	27	17	38	15	13	24	32	25	42	28	43	28	26	16	13	8	7	4	10	3	5	11	14
	Total # checklists submitted - (2018)	21	36	5	53	60	30	21	3	15	14	9	12	12	72	23	51	34	51	92	168	19	40	6	20	30	23	16	13	7	12	11	13	14	46	45	52	21	15	7	6	10	3	3	3	4	8	3	11
	Total # checklists submitted - (2019)	19	23	15	66	32	58	19	9	24	22	23	54	26	29	60	141	160	69	99	63	62	35	34	73	27	27	20	18	14	19	27	60	57	55	71	73	27	24	52	29	26	23	22	15	13	8	20	47
	Totals
	2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	4	27	20	9	13	7	20	0.0	0	0	0.0	1	0.0	0.0	2	4	0.0	119	2	192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	6	2	5	10	14	23	1	9	1	1	0.0	0.0	2	3	5	5	1	0.0	0.0	4	1	13	1	86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	16	2	1	0.0	13	5	21	23	15	7	5	0.0	6	9	3	0.0	4	1	2	1	2	9	181	26	279	48	1	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23	1	0.0	7	13	9	11	7	8	22	26	1	6	2	4	4	11	8	13	1	2	1	11	0.0	21	8	273	200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0
	2019	3	0.0	0.0	0.0	0.0	1	0.0	0.0	5	24	5	11	1	9	1	22	57	35	11	31	10	4	4	9	4	1	3	2	1	10	13	45	8	18	242	524	1	2	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3
