	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2015)	22	36	130	93	40	38	35	36	18	26	33	70	35	55	50	74	102	126	84	70	66	68	101	114	30	49	30	90	57	43	42	60	37	37	44	74	42	43	54	63	35	34	29	23	24	54	24	62
	Total # checklists submitted - (2016)	49	31	39	130	38	59	56	64	41	51	65	120	127	111	109	199	76	162	176	128	66	72	78	105	37	73	41	34	27	27	32	68	41	40	42	73	56	57	51	98	60	44	39	51	51	46	42	53
	Total # checklists submitted - (2017)	47	80	71	102	126	72	55	46	76	61	83	190	112	119	103	232	167	153	148	115	118	67	66	139	54	46	46	38	30	43	49	91	65	50	44	61	77	48	66	60	36	38	47	56	33	54	62	65
	Total # checklists submitted - (2018)	98	56	107	166	109	84	79	47	68	104	125	166	120	108	134	212	161	141	124	174	109	85	67	69	70	78	77	106	51	67	86	122	99	108	106	181	138	91	116	131	91	87	67	102	83	83	83	137
	Total # checklists submitted - (2019)	157	155	134	193	127	100	106	105	111	137	135	205	187	206	211	268	293	256	198	187	197	102	156	110	127	118	78	125	85	120	138	229	124	113	155	167	129	129	161	166	132	136	125	133	101	118	121	126
	Totals
	2015	0	3	18	8	0	0.0	5	0.0	0.0	1021	140	101	240	7	13	32	11	43	24	126	1	5	29	43	13	14	1	9	1	2	24	159	18	35	1731	1831	69	2	11	25	2	6	6	0	1	11	0.0	0.0
	2016	0.0	0.0	0	1	0.0	1	1	10	0.0	49	11	73	75	63	139	38	37	45	94	18	9	12	46	23	10	3	16	16	3	2	65	213	72	35	20	220	266	101	3	7	0.0	0.0	0.0	1	1	0.0	5	0.0
	2017	3	3	15	16	1	0.0	3	0.0	2	40	5	15	26	36	56	31	32	36	44	15	15	25	23	16	7	6	37	7	7	21	80	65	44	8	41	42	163	43	8	11	0.0	1	1	0.0	0.0	0.0	23	2
	2018	6	0.0	13	4	9	0.0	2	4	5	65	86	73	353	175	36	95	26	15	34	32	25	12	45	12	22	21	12	23	8	6	161	43	74	23	244	283	438	24	30	8	1	5	0.0	4	0.0	0.0	8	12
	2019	6	6	1	4	0.0	2	1	0.0	0	4	23	48	147	33	117	127	156	13	38	28	16	56	28	13	37	55	19	34	51	44	71	78	534	139	232	697	404	47	29	31	7	8	7	8	5	0.0	1	0
