	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2015)	22	36	130	93	40	38	35	36	18	26	33	70	35	55	50	74	102	126	84	70	66	68	101	114	30	49	30	90	57	43	42	60	37	37	44	74	42	43	54	63	35	34	29	23	24	54	24	62
	Total # checklists submitted - (2016)	49	31	39	130	38	59	56	64	41	51	65	120	127	111	109	199	76	162	176	128	66	72	78	105	37	73	41	34	27	27	32	68	41	40	42	73	56	57	51	98	60	44	39	51	51	46	42	53
	Total # checklists submitted - (2017)	47	80	71	102	126	72	55	46	76	61	83	190	112	119	103	232	167	153	148	115	118	67	66	139	54	46	46	38	30	43	49	91	65	50	44	61	77	48	66	60	36	38	47	56	33	54	62	65
	Total # checklists submitted - (2018)	98	56	107	166	109	84	79	47	68	104	125	166	120	108	134	212	161	141	124	174	109	85	67	69	70	78	77	106	51	67	86	122	99	108	106	181	138	91	116	131	91	87	67	102	83	83	83	137
	Total # checklists submitted - (2019)	157	155	134	193	127	100	106	105	111	137	135	205	187	206	211	268	293	256	198	187	197	102	156	110	127	118	78	125	85	120	138	229	124	113	155	167	129	129	161	166	132	136	125	133	101	118	121	126
	Totals
	2015	0	0.0	2	2	0	2	0.0	0.0	0.0	10	10	38	3	7	33	24	3	48	5	10	5	22	17	36	8	20	36	27	1	14	0	14	1	10	3	32	1	0	4	1	0.0	0.0	2	0.0	0.0	3	0.0	0.0
	2016	0.0	0	0	0	0.0	0.0	0.0	0.0	3	9	97	20	53	57	10	47	28	41	6	19	16	13	10	14	6	42	6	60	20	0.0	32	49	12	10	84	13	70	1	4	2	0	0	0	0	0	0.0	0.0	0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	4	0.0	13	65	53	87	16	84	40	34	23	26	21	3	4	23	8	0	11	13	0.0	3	8	10	8	6	6	11	0	1	23	3	0.0	0.0	0.0	0.0	0.0	1	6	0.0
	2018	0.0	0.0	0.0	0.0	0.0	0.0	3	4	2	25	69	77	55	57	60	167	87	84	39	70	42	22	33	7	5	12	7	37	18	29	34	80	23	74	8	87	27	5	10	0.0	0.0	0.0	3	0.0	0.0	6	0.0	0.0
	2019	0.0	2	0.0	6	3	0.0	0.0	0.0	0.0	27	16	156	87	99	115	122	115	64	46	52	53	29	24	5	29	40	15	61	60	31	45	148	76	119	23	28	44	8	11	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
