	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2015)	22	36	130	93	40	38	35	36	18	26	33	70	35	55	50	74	102	126	84	70	66	68	101	114	30	49	30	90	57	43	42	60	37	37	44	74	42	43	54	63	35	34	29	23	24	54	24	62
	Total # checklists submitted - (2016)	49	31	39	130	38	59	56	64	41	51	65	120	127	111	109	199	76	162	176	128	66	72	78	105	37	73	41	34	27	27	32	68	41	40	42	73	56	57	51	98	60	44	39	51	51	46	42	53
	Total # checklists submitted - (2017)	47	80	71	102	126	72	55	46	76	61	83	190	112	119	103	232	167	153	148	115	118	67	66	139	54	46	46	38	30	43	49	91	65	50	44	61	77	48	66	60	36	38	47	56	33	54	62	65
	Total # checklists submitted - (2018)	98	56	107	166	109	84	79	47	68	104	125	166	120	108	134	212	161	141	124	174	109	85	67	69	70	78	77	106	51	67	86	122	99	108	106	181	138	91	116	131	91	87	67	102	83	83	83	137
	Total # checklists submitted - (2019)	157	155	134	193	127	100	106	105	111	137	135	205	187	206	211	268	293	256	198	187	197	102	156	110	127	118	78	125	85	120	138	229	124	113	155	167	129	129	161	166	132	136	125	133	101	118	121	126
	Totals
	2015	26	6	444	371	99	24	7	3	2	22	28	36	12	36	90	168	50	46	67	69	9	41	15	83	117	27	34	89	5	32	53	53	56	83	73	136	103	25	35	98	23	29	5	35	24	71	52	77
	2016	52	20	18	101	31	11	10	42	7	26	6	85	61	197	110	304	42	102	179	116	123	32	28	86	55	99	86	90	107	356	437	248	56	37	74	180	109	143	119	123	55	11	8	38	12	42	50	19
	2017	110	34	27	20	43	14	43	23	9	13	24	61	72	157	99	261	158	157	97	81	314	22	32	49	13	3	70	119	37	16	129	217	66	52	63	82	153	119	73	101	6	88	13	22	22	20	82	29
	2018	16	52	104	101	115	70	44	31	65	68	59	243	189	228	315	302	330	116	139	46	191	49	80	21	37	121	81	183	124	182	590	520	235	194	214	469	247	320	346	95	68	30	33	127	24	106	33	32
	2019	52	407	71	86	69	44	60	14	28	87	126	147	189	208	379	282	329	246	225	226	120	29	90	86	121	313	134	350	340	191	668	454	297	182	153	254	165	217	268	128	48	52	41	255	105	83	55	56
